District,PVI,RPVI,Retire?,Reason,Retiree,Retiree party
4,-15.65289256,D+16,1,Retire,Keith Langseth,DFL
9,18.68965517,R+19,0,,,
12,14,R+14,0,,,
20,6.1875,R+6,0,,,
22,16.64125561,R+17,1,Retire,Doug Magnus,R
24,5.384615385,R+5,1,U.S. House,Mike Parry,R
29,43.80357143,R+44,1,Retire,Amy Koch,R
30,28.52941176,R+29,0,,,
33,51.81428571,R+52,1,Retire,Gen Olson,R
35,17.87804878,R+18,0,,,
42,12.56603774,R+13,0,,,
49,-9.133333333,D+9,1,Retire,Geoff Michel,R
50,-18.63636364,D+19,0,,,
53,-9.928571429,D+10,0,,,
57,7.568181818,R+8,1,Retire,Chris Gerlach,R
59,-54.97619048,D+55,1,Retire,Linda I. Higgins,DFL
